date,away_team,PTS,home_team,PTS.1,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
1/18/2021,Columbus Blue Jackets,3,Detroit Red Wings,2,Columbus Blue Jackets,@,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
1/18/2021,Montreal Canadiens,3,Edmonton Oilers,1,Montreal Canadiens,@,Edmonton Oilers,Edmonton Oilers,Montreal Canadiens,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/18/2021,Carolina Hurricanes,4,Nashville Predators,2,Carolina Hurricanes,@,Nashville Predators,Carolina Hurricanes,Nashville Predators,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
1/18/2021,Boston Bruins,0,New York Islanders,1,New York Islanders,,Boston Bruins,Boston Bruins,New York Islanders,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/18/2021,Buffalo Sabres,6,Philadelphia Flyers,1,Buffalo Sabres,@,Philadelphia Flyers,Buffalo Sabres,Philadelphia Flyers,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/18/2021,San Jose Sharks,4,St. Louis Blues,5,St. Louis Blues,,San Jose Sharks,San Jose Sharks,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/18/2021,Winnipeg Jets,1,Toronto Maple Leafs,3,Toronto Maple Leafs,,Winnipeg Jets,Toronto Maple Leafs,Winnipeg Jets,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/18/2021,Arizona Coyotes,2,Vegas Golden Knights,4,Vegas Golden Knights,,Arizona Coyotes,Arizona Coyotes,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/19/2021,Columbus Blue Jackets,2,Detroit Red Wings,3,Detroit Red Wings,,Columbus Blue Jackets,Columbus Blue Jackets,Detroit Red Wings,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
1/19/2021,Chicago Blackhawks,4,Florida Panthers,5,Florida Panthers,,Chicago Blackhawks,Chicago Blackhawks,Florida Panthers,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
